title,description,price,image_url
Seville: Alcázar Guided Tour with Priority Entrance,Enjoy priority entrance with this guided tour of the oldest functioning royal palace in Europe and UNESCO World Heritage Site. See where parts of Game of Thrones Season 5 were filmed.,29,https://cdn.getyourguide.com/img/tour_img-2393015-97.jpg
"Seville: Alcazar, Cathedral & Giralda Guided Tour","Visit Seville's most important monuments on a 3-hour skip-the-line tour. Hear about the history behind the Alcázar, Cathedral and Giralda Tower.",39.6,https://cdn.getyourguide.com/img/tour_img-1348697-97.jpg
"Alcázar, Seville Cathedral and La Giralda Guided Tour",Discover Seville and its main monuments with an official guide. Visit the Alcazar. End at La Giralda and the majestic Seville Cathedral. Marvel at the world's largest Gothic church.,52,https://cdn.getyourguide.com/img/tour_img-1028187-97.jpg
Museum Nao Victoria: 1st Voyage Around the World,Discover the history of the first around-the-world trip. Explore the exploits achieved by Magellan and ElCano on the most important sailing trip.,5,https://cdn.getyourguide.com/img/tour_img-2759256-97.jpg
Seville Cathedral and Giralda: Skip-the-Line Ticket,Skip the long lines to one of Seville's most popular monuments with a fast-track entry ticket to the impressive cathedral and bell tower of La Giralda.,18,https://cdn.getyourguide.com/img/tour_img-907992-97.jpg
Seville Cathedral & Giralda Tower: Guided Tour and Tickets,Enjoy a skip-the-line tour of Seville Cathedral and Giralda Tower. Spend 1 hours with an official guide and marvel at the art and architecture.,29,https://cdn.getyourguide.com/img/tour_img-2826071-97.jpg
Seville: Pura Esencia Flamenco Show in Triana,"Enjoy a local flamenco show in the Triana neighborhood. Experience 1 hour of dancing, singing and guitar playing in a unique venue while you taste local white wine. Bring the whole family for a fun cultural experience.",20,https://cdn.getyourguide.com/img/tour_img-2327380-97.jpg
Seville Alcázar: Skip-the-Line Tickets and Tour,Skip the lines with your official guide and enjoy a tour of Europe's oldest royal residence. Learn about the history of this popular UNESCO site.,32,https://cdn.getyourguide.com/img/tour_img-1589049-97.jpg
Seville: Triana Tablao Flamenco Show with Drink,Get an authentic taste of Triana with a show of flamenco Andalusian art in an incomparable setting.,20,https://cdn.getyourguide.com/img/tour_img-2129217-97.jpg
"Seville: Cathedral, Giralda & Alcazar Entry With Guided Tour",Discover the rich and fascinating history of Seville with a guided visit to both the Cathedral of Seville and Alcazar.,33.6,https://cdn.getyourguide.com/img/tour_img-760714-97.jpg
